model,val_auc_roc,val_auc_pr,val_log_loss,val_ctr_actual,val_ctr_predicted,val_precision,val_recall,val_lift_top10pct,test_auc_roc,test_auc_pr,test_log_loss,test_ctr_actual,test_ctr_predicted,test_precision,test_recall,test_lift_top10pct
logistic_regression,0.6211,0.126,0.6743,0.0859,0.4841,0.1188,0.5818,1.707,0.6028,0.1206,0.675,0.0859,0.4834,0.1101,0.5419,1.646
decision_tree,0.5987,0.1159,0.7032,0.0859,0.4665,0.1118,0.5943,1.575,0.5802,0.111,0.7069,0.0859,0.4662,0.1056,0.5652,1.452
random_forest,0.6328,0.1279,0.6194,0.0859,0.4526,0.1292,0.4825,1.761,0.6127,0.1271,0.6198,0.0859,0.4518,0.1191,0.4441,1.793
lightgbm,0.6117,0.1275,0.5737,0.0859,0.4091,0.125,0.4197,1.715,0.5953,0.1231,0.5732,0.0859,0.4072,0.1215,0.3944,1.693
